cdom,wvl_400,wvl_406.060606060606,wvl_412.121212121212,wvl_418.181818181818,wvl_424.242424242424,wvl_430.30303030303,wvl_436.363636363636,wvl_442.424242424242,wvl_448.484848484848,wvl_454.545454545454,wvl_460.60606060606,wvl_466.666666666666,wvl_472.727272727272,wvl_478.787878787878,wvl_484.848484848484,wvl_490.90909090909,wvl_496.969696969697,wvl_503.030303030303,wvl_509.090909090909,wvl_515.151515151515,wvl_521.212121212121,wvl_527.272727272727,wvl_533.333333333333,wvl_539.393939393939,wvl_545.454545454545,wvl_551.515151515151,wvl_557.575757575757,wvl_563.636363636363,wvl_569.696969696969,wvl_575.757575757575,wvl_581.818181818181,wvl_587.878787878787,wvl_593.939393939394,wvl_600,wvl_606.060606060606,wvl_612.121212121212,wvl_618.181818181818,wvl_624.242424242424,wvl_630.30303030303,wvl_636.363636363636,wvl_642.424242424242,wvl_648.484848484848,wvl_654.545454545454,wvl_660.60606060606,wvl_666.666666666666,wvl_672.727272727272,wvl_678.787878787878,wvl_684.848484848484,wvl_690.90909090909,wvl_696.969696969697,wvl_703.030303030303,wvl_709.090909090909,wvl_715.151515151515,wvl_721.212121212121,wvl_727.272727272727,wvl_733.333333333333,wvl_739.393939393939,wvl_745.454545454545,wvl_751.515151515151,wvl_757.575757575757,wvl_763.636363636363,wvl_769.696969696969,wvl_775.757575757575,wvl_781.818181818181,wvl_787.878787878787,wvl_793.939393939394,wvl_800,wvl_806.060606060606,wvl_812.121212121212,wvl_818.181818181818,wvl_824.242424242424,wvl_830.30303030303,wvl_836.363636363636,wvl_842.424242424242,wvl_848.484848484848,wvl_854.545454545454,wvl_860.60606060606,wvl_866.666666666666,wvl_872.727272727272,wvl_878.787878787878,wvl_884.848484848484,wvl_890.90909090909,wvl_896.969696969697,wvl_903.030303030303,wvl_909.090909090909,wvl_915.151515151515,wvl_921.212121212121,wvl_927.272727272727,wvl_933.333333333333,wvl_939.393939393939,wvl_945.454545454545,wvl_951.515151515151,wvl_957.575757575757,wvl_963.636363636363,wvl_969.696969696969,wvl_975.757575757575,wvl_981.818181818181,wvl_987.878787878787,wvl_993.939393939393,wvl_1000
0,0.05631393786,0.06431556508,0.067075249,0.06499571614,0.06068926075,0.05512890989,0.04760785688,0.03691695852,0.02788431594,0.02402978932,0.0224120585,0.02032254306,0.01743366616,0.01450930253,0.0122461786,0.01025503981,0.008045216149,0.005593009316,0.003874803691,0.003003304749,0.002570111586,0.002344089002,0.002157710866,0.001918422464,0.001625593787,0.001397618811,0.001256790785,0.001138886868,0.0009985164158,0.0008263499012,0.0006555811856,0.000488333416,0.0003325768501,0.0002407986912,0.0002014283378,0.0001829204424,0.0001713431051,0.0001603750428,0.0001474548676,0.0001335194131,0.0001234015619,0.0001141673569,9.86E-05,8.49E-05,7.79E-05,7.30E-05,6.77E-05,6.19E-05,5.52E-05,4.76E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.005,0.02380061425,0.02611309489,0.02736243136,0.02762055856,0.02730195873,0.02650057898,0.02485003757,0.02157574145,0.01811871453,0.01652129358,0.01590732939,0.01495428185,0.01340796105,0.0116624345,0.01020224354,0.008818955893,0.007155250793,0.005157339532,0.003666943336,0.002881950204,0.002484774277,0.002276321925,0.002102995183,0.001877198852,0.001597381947,0.00137778716,0.001241576957,0.001127047716,0.0009898953633,0.000820758223,0.0006522509145,0.0004865863365,0.0003318113761,0.0002404201038,0.0002011786567,0.0001827264956,0.0001711828941,0.00016024296,0.000147349834,0.0001334384363,0.0001233365504,0.0001141150766,9.86E-05,8.49E-05,7.79E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.76E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.01,0.01429309402,0.01543619078,0.01618376414,0.01656203014,0.01671280057,0.01664976128,0.0161752606,0.01482713219,0.013179232,0.01241631509,0.01218607358,0.01171909566,0.01081946349,0.009705996724,0.008717158146,0.007721185978,0.006436215391,0.004782918497,0.003479840467,0.002769884833,0.002404855713,0.002212322038,0.002050959673,0.001837695309,0.001570126354,0.001358507556,0.001226725451,0.001115451254,0.0009814214508,0.0008152415432,0.0006489542568,0.0004848517023,0.0003310494161,0.0002400427047,0.0002009295939,0.0001825329596,0.0001710229825,0.0001601110946,0.0001472449499,0.0001333575577,0.0001232716073,0.0001140628441,9.85E-05,8.49E-05,7.79E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.76E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.015,0.01001395351,0.01072104905,0.01123541078,0.01157090295,0.01179506757,0.0119082387,0.01179173395,0.01115091016,0.01026229426,0.009872828408,0.009812432577,0.009582905806,0.009031693925,0.008287864217,0.007594298292,0.006857340615,0.005844169061,0.004457896516,0.00331057429,0.002666092567,0.002329860308,0.002151786285,0.002001413597,0.001799807086,0.001543779458,0.001339757364,0.001212223525,0.001104090121,0.0009730909535,0.0008097983659,0.0006456907067,0.0004831293809,0.0003302909461,0.0002396664883,0.0002006811468,0.0001823398331,0.0001708633692,0.000159979446,0.000147140215,0.0001332767771,0.0001232067326,0.0001140106595,9.85E-05,8.48E-05,7.78E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.02,0.007639609063,0.008134039539,0.008519064765,0.008803473546,0.009025956826,0.009184362328,0.009201119903,0.008875783883,0.008360109288,0.008159547595,0.008181268186,0.008078558742,0.007730662434,0.007217405899,0.006718308048,0.006161370832,0.005348839786,0.004173258939,0.003156742096,0.002569699105,0.002259350692,0.002094443056,0.001954183786,0.001763437723,0.001518296798,0.001321515167,0.001198059025,0.001092957247,0.0009649002706,0.0008044272348,0.0006424597687,0.0004814192418,0.0003295359422,0.0002392914491,0.0002004333133,0.0001821471148,0.0001707040536,0.0001598480137,0.000147035629,0.0001331960942,0.0001231419261,0.0001139585225,9.85E-05,8.48E-05,7.78E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.025,0.006147947756,0.006520951135,0.006825532032,0.007067858476,0.007272806029,0.007438015314,0.007509458305,0.007343434265,0.007031387109,0.006934707149,0.006998090158,0.006967408159,0.006745397752,0.00638328617,0.006017447457,0.005589617851,0.004928744075,0.003922033633,0.00301635013,0.002479948184,0.002192939453,0.002040048228,0.001909112672,0.001728498251,0.001493636753,0.001303760682,0.001184220354,0.001082045844,0.0009568459208,0.0007991267316,0.0006392609572,0.0004797211563,0.0003287843805,0.0002389175815,0.000200186091,0.0001819548033,0.0001705450348,0.0001597167971,0.0001469311915,0.000133115509,0.0001230771878,0.0001139064333,9.84E-05,8.48E-05,7.78E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.03,0.005130768124,0.005426906934,0.005677326862,0.00588664406,0.006072149223,0.006231771909,0.006326018282,0.00624751145,0.006055358887,0.006019259701,0.00610404536,0.006116029264,0.005975573826,0.005716500147,0.005444953643,0.005112157138,0.004568243268,0.00369874845,0.002887730765,0.002396182435,0.002130282244,0.001988381796,0.001866056578,0.00169490648,0.001469760321,0.00128647469,0.001170696437,0.001071349389,0.0009489245372,0.000793895475,0.0006360937958,0.0004780349975,0.0003280362378,0.00023854488,0.0001999394778,0.0001817628975,0.0001703863119,0.0001595857958,0.0001468269022,0.0001330350212,0.0001230125174,0.0001138543916,9.84E-05,8.48E-05,7.78E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.035,0.00439572891,0.004639554462,0.004851346286,0.005034715485,0.005202370253,0.005352595306,0.005455415823,0.005427902924,0.005310401532,0.005311120691,0.005406545195,0.005444487149,0.005358763297,0.005172185137,0.004969141622,0.004707841633,0.004255700447,0.003499051754,0.002769478913,0.002317827823,0.002071071992,0.001939244981,0.001824884232,0.00166258637,0.001446630917,0.001269638963,0.001157476693,0.001060861612,0.0009411328624,0.0007887321195,0.0006329578179,0.0004763606404,0.0003272914906,0.0002381733393,0.0001996934713,0.000181571396,0.0001702278842,0.0001594550092,0.0001467227609,0.0001329546307,0.000122947915,0.0001138023974,9.84E-05,8.47E-05,7.78E-05,7.28E-05,6.76E-05,6.19E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.04,0.003841180041,0.004047443658,0.004230457648,0.004393139993,0.004545228359,0.004685324563,0.004789988486,0.004793437585,0.004724432842,0.004748160856,0.004848263174,0.004902202716,0.00485424289,0.004720005777,0.004567835291,0.004361332352,0.003982288625,0.003319441872,0.002660402661,0.002244380932,0.002015034017,0.00189245774,0.001785475455,0.001631467465,0.00142421419,0.001253236204,0.00114455101,0.001050576484,0.0009334677444,0.0007836353541,0.0006298525657,0.0004746979616,0.0003265501159,0.0002378029539,0.0001994480694,0.0001813802975,0.0001700697508,0.0001593244367,0.0001466187672,0.0001328743373,0.0001228833805,0.0001137504507,9.83E-05,8.47E-05,7.77E-05,7.28E-05,6.76E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.045,0.003408665202,0.003586828383,0.003747660345,0.003893578316,0.004032287977,0.004162652112,0.004265890934,0.004288663483,0.004252211917,0.004290554816,0.004391943925,0.004455722526,0.004434395915,0.004338765042,0.004225080408,0.00406124989,0.003741198089,0.003157070831,0.002559484593,0.002175398484,0.001961921887,0.001847856624,0.001747720028,0.001601484398,0.001402477852,0.001237249987,0.001131909717,0.001040488205,0.0009259261323,0.0007786039012,0.0006267775904,0.0004730468393,0.0003258120909,0.0002374337184,0.0001992032697,0.0001811896008,0.0001699119108,0.0001591940779,0.0001465149209,0.0001327941408,0.0001228189136,0.0001136985514,9.83E-05,8.47E-05,7.77E-05,7.28E-05,6.75E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
